,Full name,Symbol letter,Electron configuration,Atomic number,Atomic mass,van der Waals radius,Atomic radius,Covalent radius,Melting point,Boiling point,First electron affinity,First ionization energy,Electronegativity Pauling,Electronegativity Allred,Electronegativity Absolute,Chemical formula_Elemental atomic volume,Chemical formula_Elemental bulk modulus,Chemical formula_Elemental crystal structure (space group),Chemical formula_Elemental density,Chemical formula_Elemental electron density,Chemical formula_Elemental magnetic moment,Chemical formula_Elemental melting temperature,Chemical formula_Elemental polarizability,Chemical formula_Elemental work function,Chemical formula_Mendeleev number,Chemical formula_Number of d valence electrons,Chemical formula_Number of f valence electrons,Chemical formula_Number of p valence electrons,Chemical formula_Number of s valence electrons,Chemical formula_Number of unfilled f valence electrons,Chemical formula_Number of unfilled p valence electrons,Chemical formula_Number of unfilled s valence electrons,Chemical formula_Pauling electronegativity,Chemical formula_Radius of d orbitals,Chemical formula_Radius of p orbitals,Chemical formula_Radius of s orbitals,Chemical formula_Row in periodic table,Chemical formula_Total number of unfilled valence electrons,Chemical formula_Total number of valence electrons,Density
20,Scandium,Sc,3d14s2,21,44.95591,,161,170,1814,3104,18.1,631,1.36,1.2,3.34,24.96,57.0,194.0,2985.0,1.27,6.35e-06,1814.0,17.8,3.25,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.36,0.31,1.53,1.22,4.0,9.0,3.0,4.412410055865106
21,Titanium,Ti,3d24s2,22,47.867,,145,160,1933,3560,7.6,658,1.54,1.32,3.45,17.67,110.0,194.0,4507.0,1.52,2.25333333333e-05,1941.0,14.6,3.8,43.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.54,0.28,1.43,1.15,4.0,8.0,4.0,5.5498866784528
22,Vanadium,V,3d34s2,23,50.9415,,132,153,2160,3650,50.7,650,1.63,1.45,3.6,13.88,160.0,229.0,6110.0,1.64,0.0,2183.0,12.4,4.25,46.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.63,0.26,1.34,1.09,4.0,7.0,5.0,6.676125134570585
23,Chromium,Cr,3d54s1,24,51.9961,,125,139,2130,2945,64.3,652.7,1.66,1.56,3.72,12.01,160.0,229.0,7140.0,1.73,0.0,2180.0,11.6,4.65,49.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.66,0.25,1.37,1.07,4.0,6.0,6.0,7.638670227653486
24,Manganese,Mn,3d54s2,25,54.93805,,124,139,1517,2235,-96,717.4,1.55,1.6,3.72,12.2,120.0,217.0,7470.0,1.61,0.000310120689655,1519.0,9.4,4.45,52.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.55,0.23,1.23,0.99,4.0,5.0,7.0,7.53289257813131
25,Iron,Fe,3d64s2,26,55.845,,124,132,1808,3023,15.7,759.3,1.83,1.64,4.06,11.78,170.0,229.0,7874.0,1.77,2.1106628,1811.0,8.4,4.93,55.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.83,0.22,1.16,0.95,4.0,4.0,8.0,8.28480587626996
26,Cobalt,Co,3d74s2,27,58.9332,,125,126,1768,3143,63.8,760,1.88,1.7,4.3,11.12,180.0,194.0,8900.0,1.75,1.5484712,1768.0,7.5,5.1,58.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.88,0.21,1.1,0.92,4.0,3.0,9.0,8.872238263410173
27,Nickel,Ni,3d84s2,28,58.6934,,125,124,1726,3005,112,736.7,1.91,1.75,4.4,10.86,180.0,225.0,8908.0,1.75,0.5953947,1728.0,6.8,5.2,61.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.91,0.195,1.22,0.96,4.0,2.0,10.0,8.654026596833152
28,Copper,Cu,3d104s1,29,63.546,,128,132,1356.6,2840,118.4,745.4,1.9,1.75,4.48,11.81,140.0,225.0,8920.0,1.47,0.0,1357.77,6.15,4.45,64.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.9,0.185,1.16,0.88,4.0,1.0,11.0,8.554029108935815
29,Zinc,Zn,3d104s2,30,65.39,,133,122,692.73,1180,0,906.4,1.65,1.66,4.45,15.19,70.0,194.0,7140.0,1.32,0.0,692.68,-5.8166666667,4.1,69.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.65,0.175,1.06,0.82,4.0,0.0,12.0,6.973799686448927
